,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4740,"El Monte, CA",-118.033758372,109462.444444,18.2986142439,34.0735237,36.1506909464,9,8.42402325393e-05,8.22199800642e-05,4.27768795541,6.01254446523,0.00917824779243,0.0438369017807,2.9068253326,3.58769606174,-9.3818379297
4741,"Birmingham, AL",-86.8445347105,228665.842105,11.6741454334,33.4976345158,11.7910328267,19,8.41837504032e-05,8.30906786299e-05,3.41674485928,3.43380733686,0.00917517032012,0.0438271022056,2.45737660459,2.46733931264,-9.38250864343
4742,"Haverstraw, NY",-73.9640541,11910.0,24.2420946599,41.1976502,11.8587042816,1,8.39630562552e-05,8.39630562552e-05,4.9236261698,3.44364694497,0.00916313572175,0.0437887699877,3.18809057083,2.47306213647,-9.38513366235
4743,"Victoria, TX",-96.9725369223,60212.6,5.84627211327,28.8297135,113.262922226,5,8.36317416943e-05,8.3039098129e-05,2.41790655594,10.6425054487,0.00914503918495,0.0437310978711,1.76580421252,4.72971186139,-9.3890874246
4744,"Brown Deer, WI",-87.964278,11999.0,8.26213686495,43.1642538,24.7510482193,1,8.33402783565e-05,8.33402783565e-05,2.8743933038,4.97504253442,0.00912908967841,0.0436802366104,2.11168325443,3.20886784041,-9.39257859196
4745,"Hercules, CA",-122.2885808,24060.0,19.641761834,38.0171441,40.785369544,2,8.31255195345e-05,8.31255195345e-05,4.43190273291,6.38634242301,0.00911731975607,0.0436426845984,2.97765800532,3.70832342749,-9.39515880897
4746,"Grand Terrace, CA",-117.3136544,12040.0,9.96751043606,34.0339031,17.7525754865,1,8.30564784053e-05,8.30564784053e-05,3.15713642975,4.21338052952,0.00911353270721,0.0436305985594,2.29933084728,2.87653060323,-9.39598971886
4747,"Meriden, CT",-72.83646376,60343.2,16.5125118246,41.53794748,45.3683422308,5,8.28851260241e-05,8.28593776929e-05,4.06355900961,6.73560258854,0.00910412686775,0.0436005733912,2.80411838595,3.81481455412,-9.39805493262
4748,"Lodi, NJ",-74.0831971,24136.0,4.04597670858,40.8823215,30.7242795297,2,8.28637719589e-05,8.28637719589e-05,2.01146133659,5.54294863134,0.00910295402377,0.0435968287328,1.39772298208,3.42505320618,-9.39831260028
4749,"Poquoson, VA",-76.3592241,12150.0,0.13646462947,37.0835074,1.21966863242,1,8.2304526749e-05,8.2304526749e-05,0.369411192941,1.10438608848,0.00907218423253,0.0434985293463,-1.9916898227,0.198579209081,-9.40508444877
4750,"Hastings, NE",-98.388393,24485.5,42.9228653852,40.5861246,8.80746552294,2,8.17052066667e-05,8.16809948745e-05,6.55155442511,2.96773744171,0.00903909324361,0.043392690386,3.75940467661,2.17559971671,-9.41239282904
4751,"Aberdeen, SD",-98.487813,24582.0,5.44320323566,45.4649805,206.139099445,2,8.166809384e-05,8.13603449679e-05,2.33306734486,14.3575450355,0.00903704010393,0.0433861193266,1.69436771766,5.32855118094,-9.41284716065
4752,"Abbeville, LA",-92.1342921,12257.0,25.1114340381,29.9746502,138.646339947,1,8.15860324712e-05,8.15860324712e-05,5.01113101386,11.7748180431,0.00903249868371,0.0433715827746,3.22332328178,4.93192637393,-9.41385248134
